City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sinabang,2.4803,96.3801,80.98,79,98,2.28,ID,1690417900
1,gondal,21.9667,70.8,77.41,94,100,9.84,IN,1690417925
2,port-aux-francais,-49.35,70.2167,40.03,77,90,38.7,TF,1690417925
3,mermoz boabab,14.7065,-17.4758,83.98,79,0,0.0,SN,1690417925
4,avarua,-21.2078,-159.775,75.25,64,100,8.05,CK,1690417925
5,waitangi,-43.9535,-176.5597,48.81,87,96,4.0,NZ,1690417926
6,grytviken,-54.2811,-36.5092,33.17,98,100,11.05,GS,1690417926
7,uruacu,-14.5247,-49.1408,74.43,31,0,3.02,BR,1690417713
8,punta arenas,-53.15,-70.9167,32.31,76,12,10.74,CL,1690417879
9,tsetserleg,47.475,101.4542,61.79,61,25,4.03,MN,1690417926
10,kununurra,-15.7667,128.7333,69.78,49,8,4.61,AU,1690417927
11,puerto ayora,-0.7393,-90.3518,76.55,93,68,7.0,EC,1690417878
12,porto novo,6.4965,2.6036,78.62,94,100,5.5,BJ,1690417927
13,port elizabeth,-33.918,25.5701,57.49,67,0,6.91,ZA,1690417927
14,kone,-21.0595,164.8658,75.38,39,0,8.88,NC,1690417927
15,westport,41.1415,-73.3579,81.01,76,0,11.5,US,1690417845
16,bethel,41.3712,-73.414,79.75,78,13,6.02,US,1690417928
17,hobyo,5.3505,48.5268,75.81,84,96,22.41,SO,1690417928
18,severo-yeniseyskiy,60.3725,93.0408,60.35,94,100,2.57,RU,1690417928
19,tralee,52.2704,-9.7026,60.53,98,100,8.23,IE,1690417675
20,adamstown,-25.066,-130.1015,67.8,62,59,14.52,PN,1690417929
21,aasiaat,68.7098,-52.8699,36.64,95,32,7.45,GL,1690417930
22,papatowai,-46.5619,169.4708,44.04,71,100,22.06,NZ,1690417930
23,ilulissat,69.2167,-51.1,50.02,57,0,5.75,GL,1690417930
24,puerto natales,-51.7236,-72.4875,29.75,92,100,2.98,CL,1690417931
25,san patricio,28.017,-97.5169,92.17,65,7,15.86,US,1690417931
26,yelets,52.6237,38.5017,66.27,85,12,6.22,RU,1690417932
27,iqaluit,63.7506,-68.5145,46.13,81,40,2.3,CA,1690417932
28,coquimbo,-29.9533,-71.3436,56.93,88,0,6.91,CL,1690417923
29,bredasdorp,-34.5322,20.0403,48.0,91,0,4.38,ZA,1690417932
30,thompson,55.7435,-97.8558,60.96,63,100,8.05,CA,1690417933
31,arraial do cabo,-22.9661,-42.0278,70.21,86,58,21.99,BR,1690417750
32,la mojonera,37.2923,-2.4373,69.85,88,44,3.85,ES,1690417933
33,mil'kovo,55.6078,37.7956,63.91,92,92,4.99,RU,1690417933
34,port lincoln,-34.7333,135.8667,61.84,56,100,19.17,AU,1690417934
35,chuzhou,32.3219,118.2978,84.36,75,44,11.3,CN,1690417934
36,utrik,11.2278,169.8474,83.12,78,100,18.88,MH,1690417934
37,edinburgh of the seven seas,-37.0676,-12.3116,51.35,54,52,24.29,SH,1690417934
38,palmas,-10.2128,-48.3603,75.07,60,0,3.44,BR,1690417860
39,broome,42.2506,-75.833,78.55,73,100,4.0,US,1690417935
40,vuktyl,63.8567,57.3094,57.33,83,0,3.22,RU,1690417935
41,albany,42.6001,-73.9662,79.45,75,100,4.18,US,1690417869
42,blackmans bay,-43.0167,147.3167,52.52,81,100,4.61,AU,1690417935
43,lihue,21.9789,-159.3672,85.59,64,20,13.8,US,1690417936
44,vila velha,-20.3297,-40.2925,69.94,90,20,3.44,BR,1690417936
45,nar'yan-mar,67.6713,53.087,62.67,69,100,5.39,RU,1690417936
46,colonia,50.9333,6.95,63.97,70,0,9.22,DE,1690417696
47,st. john's,47.5649,-52.7093,70.99,78,75,23.02,CA,1690417936
48,ushuaia,-54.8,-68.3,33.46,69,0,8.05,AR,1690417937
49,hadibu,12.65,54.0333,77.09,80,60,25.32,YE,1690417937
50,alice springs,-23.7,133.8833,65.75,55,100,4.61,AU,1690417852
